0,0,[1;2;3;4;5;6;7;8]
1,1,[1;2;3;4;5;6;7;8;9]
2,2,[1;2;3;4;5;6;7;8;9]
3,3,[1;2;3;4;5;6;7;8]
4,4,[1;2;3;4;5;6;7;8]
5,5,[1;2;3;4;5;6;7;8]
6,6,[1;2;3;4;5;6;7;8;9;10]
7,7,[1;2;3;4;5;6;7;8]
8,8,[1;2;3;4;5;6;7;8;9;10;11;12;13]
9,9,[1;2;3;4;5;6;7;8]
10,10,[1;2;3;4;5;6;7;8;9]
11,11,[1;2;3;4;5;6;7;8;9;10;11]
12,12,[1;2;3;4;5;6;7;8;9;10;11]
13,13,[1;2;3;4;5;6;7;8;9;10]
14,14,[1;2;3;4;5;6;7;8;9]
15,15,[1;2;3;4;5;6;7;8;9]
16,16,[1;2;3;4;5;6;7;8;9;10]
17,17,[1;2;3;4;5;6;7;8]
18,18,[1;2;3;4;5;6;7;8;9;10]
19,19,[1;2;3;4;5;6;7;8;9;10;11;12;13;14]
20,20,[1;2;3;4;5;6;7;8]
21,21,[1;2;3;4;5;6;7;8;9;10;11;12;13]
22,22,[1;2;3;4;5;6;7;8]
23,23,[1;2;3;4;5;6;7]
