0,1,0,<p>Todos en la sala cantaron: "Coronados de gloria vivamos".</p>
1,1,0,<p>Y finalmente proclamó: "Felices pascuas, la casa está en orden".</p>
2,1,0,<p>Después de ganar, bromeó: "A papá mono, con bananas verdes".</p>
3,1,0,<p>Lo festejó gritando: "¿De qué planeta viniste, barrilete cósmico?"</p>
4,1,0,<p>Los miró y preguntó: "¿Qué gusto tiene la sal?".</p>
5,1,0,<p>Exclamó enojado: "¿Quién te dio vela en este entierro?"</p>
6,1,0,<p>Me respondió que a las palabras se las lleva el viento.</p>
7,1,0,<p>Matías recalcó que cocodrilo que se duerme es cartera.</p>
8,1,0,<p>Siempre afirma que como te ven te tratan; si te ven mal, te maltratan.</p>
9,1,0,<p>Luciana volvió con una mano atrás y otra adelante.</p>
10,1,0,<p>Quiero tu opinión porque cuatro ojos ven más que dos.</p>
11,1,0,<p>Necesita verlo terminado porque del dicho al hecho hay un largo trecho.</p>
12,1,0,<p>No se sorprendió porque Dios los cría y el viento los amontona.</p>
13,1,0,<p>Diego le aconsejó: "Disfrutá cada día como si fuera el último".</p>
14,1,0,<p>Sabe perfectamente que donde hay hambre, no hay pan duro.</p>
15,1,0,<p>Al verlos de nuevo, murmuró: "Donde hubo fuego, cenizas quedan".</p>
16,1,0,<p>En ese momento sentenció: "Donde pone el ojo, pone la bala".</p>
17,1,0,<p>Micaela se quejó: "Dos son compañía, tres son multitud".</p>
18,1,0,<p>Virginia advirtió: "El que se fue a Sevilla perdió su silla".</p>
19,1,0,<p>Le enseñaron que el que come y no convida tiene un sapo en la barriga.</p>
20,1,0,<p>Ahora promete que el que depositó dólares recibirá dólares.</p>
21,1,0,<p>Siempre repite que el que esté libre de pecado que tire la primera piedra.</p>
22,1,0,<p>Pensalo bien porque el que mucho abarca poco aprieta.</p>
23,1,0,<p>Concluyó que el que no arriesga no gana.</p>
